FolderNumber,Contents
249,"Guilford, Francis North, 6th Earl of, 1772-1861. 2 ALS to T. J. Pettigrew"
250,"Gunn, William, 1750-1841. ALS to T. J. Pettigrew"
251,"Gurney, John Hampden, 1802-1862. 2 ALS to T. J. Pettigrew"
252,"Gutch, John Matthew, 1776-1861. 5 ALS to T. J. Pettigrew"
253,"Guthrie, George James, 1785-1856. 8 ALS to T. J. Pettigrew"
254,"Gwilt, Joseph, 1784-1863. ALS to T. J. Pettigrew"
255,"Haigh, Daniel Henry, 1819-1879. ALS to T. J. Pettigrew"
256,"Halford, Sir Henry, bart., 1766-1844. 3 ALS to T. J. Pettigrew"
257,"Haliburton, James, 1788-1862. 7 ALS to T. J. Pettigrew"
258,"Hall, Marshall, 1790-1857. ALS to T. J. Pettigrew"
259,"Halliday, Sir Andrew, 1781-1839. 2 ALS to T. J. Pettigrew"
260,"Hamilton, Henry Parr, 1794-1880. 6 ALS to T. J. Pettigrew"
261,"Hamilton, R., col. ALS to T. J. Pettigrew"
262,"Hamilton, William Richard, 1777-1859. 7 ALS and 1 LS to T. J. Pettigrew"
263,"Hancock, Thomas, 1783-1849. 2 ALS to T. J. Pettigrew"
264,"Hargrove, William, 1788-1862. ALS to T. J. Pettigrew"
265,"Harland, John, 1806-1868. ALS to T. J. Pettigrew"
266,"Harriott, Thomas. ALS to T. J. Pettigrew"
267,"Harrod, Henry, 1817-1871. ALS to T. J. Pettigrew"
268,"Harrowby, Dudley Francis Stuart Ryder, 3d Earl of, 1831-1900. 3 ALS to T. J. Pettigrew"
269,"Hartshorne, Charles Henry, 1802-1865. 3 ALS to T. J. Pettigrew"
270,"Haslam, John, 1764-1844. 3 ALS to T. J. Pettigrew"
271,ALS to T. J. Pettigrew
272,ALS to C. R. Smith
273,"Hawkins, Caesar Henry, 1798-1884. 3 ALS to T. J. Pettigrew"
274,"Hawkins, Edward, 1780-1867. 4 ALS and 1 AL to T. J. Pettigrew"
275,"Hawkins, Francis, 1794-1877. 2 LS, 9 ALS, and 1 AL to T. J. Pettigrew"
276,"Hay, Robert, 1799-1863. 2 ALS to T. J. Pettigrew"
277,"Heath, Dunbar Isidore, 1816-1888. 2 ALS to T. J. Pettigrew"
278,"Heath, J. M. 6 ALS and 1 AL (draft) to T. J. Pettigrew"
279,"Heberden, William, 1767-1845. 2 ALS to T. J. Pettigrew"
280,"Henderson, Alexander, 1780-1863. 2 AL (3d person) to T. J. Pettigrew"
281,"Heytesbury, William A'Court, 1st Baron, 1779-1860. ALS to T. J. Pettigrew"
282,"Hill, Sir Rowland, 1795-1879. ALS to T. J. Pettigrew"
283,"Hill, Thomas, 1760-1840. ALS to T. J. Pettigrew"
284,"Hincks, Edward, 1792-1866. 4 ALS to T. J. Pettigrew"
